date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:03	17380/17380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	E:/Bluelight%20media/digital%20website/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://digitalcorsel.com/)
01:12:03	29295/29295	---M--	200	added ('OK')	text/css	etag:%22726f-58b86773e3f80%22	https://digitalcorsel.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-includes/css/dist/block-library/style.minbb49.css	(from https://digitalcorsel.com/)
01:12:04	1685/1685	---M--	200	added ('OK')	text/css	etag:%22695-58bbd6adf5e6a%22	https://digitalcorsel.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from https://digitalcorsel.com/)
01:12:04	39820/39820	---M--	200	added ('OK')	text/css	etag:%229b8c-583adb04d7380%22	https://digitalcorsel.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8.1	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/plugins/revslider/public/assets/css/settings84f5.css	(from https://digitalcorsel.com/)
01:12:05	28247/28247	---M--	200	added ('OK')	text/css	etag:%226e57-58c5c79ba024c%22	https://digitalcorsel.com/wp-content/plugins/wp-whatsapp-chat/assets/css/qlwapp.min.css?ver=4.2.9	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/plugins/wp-whatsapp-chat/assets/css/qlwapp.min7350.css	(from https://digitalcorsel.com/)
01:12:05	17167/17167	---MC-	200	added ('OK')	application/rss+xml	etag:%2237c9e0a1b1491af74f49c20376706af8%22	https://digitalcorsel.com/feed/	E:/Bluelight%20media/digital%20website/digitalcorsel.com/feed/index.html	(from https://digitalcorsel.com/)
01:12:05	953/953	---MC-	200	added ('OK')	application/rss+xml	etag:%227cfae0d77ef26f0cd5cba42607ff720d%22	https://digitalcorsel.com/comments/feed/	E:/Bluelight%20media/digital%20website/digitalcorsel.com/comments/feed/index.html	(from https://digitalcorsel.com/)
01:12:06	30611/30611	---M--	200	added ('OK')	text/css	etag:%227793-583adb17ea080%22	https://digitalcorsel.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.6	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min40df.css	(from https://digitalcorsel.com/)
01:12:06	484758/484758	---M--	200	added ('OK')	text/css	etag:%2276596-583adb1601c00%22	https://digitalcorsel.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.6	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/plugins/js_composer/assets/css/js_composer.min40df.css	(from https://digitalcorsel.com/)
01:12:06	140889/140889	---M--	200	added ('OK')	text/css	etag:%2222659-583adaf594f80%22	https://digitalcorsel.com/wp-content/themes/markut/assets/css/bootstrap.min.css?ver=4.0.0	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/themes/markut/assets/css/bootstrap.mincce7.css	(from https://digitalcorsel.com/)
01:12:06	9392/9392	---M--	200	added ('OK')	text/css	etag:%2224b0-583adaf594f80%22	https://digitalcorsel.com/wp-content/themes/markut/assets/css/simple-line-icons.min.css?ver=1.0	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/themes/markut/assets/css/simple-line-icons.min5152.css	(from https://digitalcorsel.com/)
01:12:06	2974/2974	---M--	200	added ('OK')	text/css	etag:%22b9e-583adaf594f80%22	https://digitalcorsel.com/wp-content/themes/markut/assets/css/owl-carousel.min.css?ver=2.2.1	E:/Bluelight%20media/digital%20website/digitalcorsel.com/wp-content/themes/markut/assets/css/owl-carousel.min77e6.css	(from https://digitalcorsel.com/)
